182;6;M;38;6;38S0;6;86;2023-03-01
357;6;M;38;6;38S0;6;86;2023-05-24
182;6;M;46;5;46S0;5;86;2023-04-19
357;6;M;46;5;46S0;5;86;2023-05-31
178;6;T;54;4;54S0;4;88;2023-03-02
203;6;M;54;4;54S0;4;88;2023-05-22
202;6;T;54;4;54S0;4;88;2023-03-31
211;6;T;54;4;54S0;4;88;2023-04-28
235;999;T;62;3;62S0;3;97;2023-06-12
235;999;T;62;3;62S0;3;97;2023-07-03
235;999;T;62;3;62S0;3;97;2023-06-05
235;999;T;62;3;62S0;3;97;2023-04-10
235;999;T;62;3;62S0;3;97;2023-03-06
235;999;T;62;3;62S0;3;97;2023-02-27
235;999;T;62;3;62S0;3;97;2023-03-20
235;999;T;62;3;62S0;3;97;2023-04-03
235;999;T;62;3;62S0;3;97;2023-05-22
235;999;T;62;3;62S0;3;97;2023-03-13
235;999;T;62;3;62S0;3;97;2023-05-01
235;999;T;62;3;62S0;3;97;2023-03-27
235;999;T;62;3;62S0;3;97;2023-05-29
235;999;T;62;3;62S0;3;97;2023-05-08
235;999;T;62;3;62S0;3;97;2023-06-19
235;999;T;62;3;62S0;3;97;2023-02-20
235;999;T;62;3;62S0;3;97;2023-05-15
235;999;T;62;3;62S0;3;97;2023-07-10
235;999;T;62;3;62S0;3;97;2023-06-26
235;999;T;62;3;62S0;3;97;2023-04-17
235;999;T;62;3;62S0;3;97;2023-04-24
198;6;T;6;6;6S0;6;90;2023-04-14
156;6;M;6;6;6S0;6;90;2023-06-09
196;6;M;6;6;6S0;6;90;2023-04-14
159;9;T;6;6;6S0;6;90;2023-05-02
196;6;M;6;6;6S0;6;90;2023-05-05
182;6;M;22;5;22S0;5;86;2023-05-31
357;6;M;22;5;22S0;5;86;2023-06-28
50;12;M;38;6;38S0;6;80;2023-04-19
64;12;M;38;6;38S0;6;80;2023-04-12
50;12;M;46;5;46S0;5;80;2023-03-22
64;12;M;46;5;46S0;5;80;2023-04-26
182;6;M;6;6;6S0;6;86;2023-05-17
357;6;M;6;6;6S0;6;86;2023-03-22
203;6;M;14;6;14S0;6;88;2023-03-13
202;6;T;14;6;14S0;6;88;2023-05-26
178;6;T;14;6;14S0;6;88;2023-03-23
211;6;T;14;6;14S0;6;88;2023-02-24
62;3;T;62;3;62S0;3;90;2023-05-23
159;9;T;62;3;62S0;3;90;2023-03-14
198;6;T;62;3;62S0;3;90;2023-03-10
196;6;M;62;3;62S0;3;90;2023-04-07
156;6;M;62;3;62S0;3;90;2023-04-21
62;3;T;62;3;62S0;3;90;2023-07-11
50;12;M;22;5;22S0;5;80;2023-05-17
50;12;M;22;5;22S0;5;80;2023-03-08
64;12;M;22;5;22S0;5;80;2023-04-26
315;12;T;38;6;38S0;6;82;2023-03-14
292;12;T;38;6;38S0;6;82;2023-04-25
315;12;T;46;5;46S0;5;82;2023-04-04
292;12;T;46;5;46S0;5;82;2023-06-27
64;12;M;6;6;6S0;6;80;2023-06-21
50;12;M;6;6;6S0;6;80;2023-06-07
235;999;T;38;6;38S0;6;97;2023-04-10
235;999;T;38;6;38S0;6;97;2023-05-15
235;999;T;38;6;38S0;6;97;2023-03-20
235;999;T;38;6;38S0;6;97;2023-02-20
235;999;T;38;6;38S0;6;97;2023-04-03
235;999;T;38;6;38S0;6;97;2023-06-26
235;999;T;38;6;38S0;6;97;2023-03-13
235;999;T;38;6;38S0;6;97;2023-05-01
235;999;T;38;6;38S0;6;97;2023-04-17
235;999;T;38;6;38S0;6;97;2023-06-12
235;999;T;38;6;38S0;6;97;2023-04-24
235;999;T;38;6;38S0;6;97;2023-05-08
235;999;T;38;6;38S0;6;97;2023-06-19
235;999;T;38;6;38S0;6;97;2023-07-03
235;999;T;38;6;38S0;6;97;2023-06-05
235;999;T;38;6;38S0;6;97;2023-07-10
235;999;T;38;6;38S0;6;97;2023-03-27
235;999;T;38;6;38S0;6;97;2023-03-06
235;999;T;38;6;38S0;6;97;2023-02-27
235;999;T;38;6;38S0;6;97;2023-05-22
235;999;T;38;6;38S0;6;97;2023-05-29
332;999;M;22;5;22S0;5;96;2023-03-17
603;999;N;22;5;22S0;5;96;2023-03-17
332;999;M;22;5;22S0;5;96;2023-02-24
332;999;M;22;5;22S0;5;96;2023-07-07
332;999;M;22;5;22S0;5;96;2023-04-14
235;999;T;46;5;46S0;5;97;2023-05-08
235;999;T;46;5;46S0;5;97;2023-03-06
235;999;T;46;5;46S0;5;97;2023-04-24
292;12;T;22;5;22S0;5;82;2023-03-14
315;12;T;22;5;22S0;5;82;2023-06-06
78;6;M;54;4;54S0;4;94;2023-04-13
51;22;M;54;4;54S0;4;94;2023-05-25
73;6;M;54;4;54S0;4;94;2023-07-13
178;6;T;30;5;30S0;5;88;2023-03-30
202;6;T;30;5;30S0;5;88;2023-05-19
203;6;M;30;5;30S0;5;88;2023-04-10
211;6;T;30;5;30S0;5;88;2023-06-30
235;999;T;22;5;22S0;5;97;2023-07-10
235;999;T;22;5;22S0;5;97;2023-05-29
235;999;T;22;5;22S0;5;97;2023-05-01
194;12;T;54;4;54S0;4;84;2023-06-30
248;12;M;54;4;54S0;4;84;2023-03-27
51;22;M;14;6;14S0;6;94;2023-03-09
78;6;M;14;6;14S0;6;94;2023-02-23
73;6;M;14;6;14S0;6;94;2023-06-15
602;3;N;62;3;62S0;3;92;2023-05-08
586;3;T;62;3;62S0;3;92;2023-03-23
585;3;T;62;3;62S0;3;92;2023-03-30
194;12;T;14;6;14S0;6;84;2023-07-14
248;12;M;14;6;14S0;6;84;2023-06-26
198;6;T;22;5;22S0;5;90;2023-06-09
159;9;T;22;5;22S0;5;90;2023-07-11
196;6;M;22;5;22S0;5;90;2023-04-28
156;6;M;22;5;22S0;5;90;2023-05-26
159;9;T;22;5;22S0;5;90;2023-02-21
73;6;M;30;5;30S0;5;94;2023-03-30
78;6;M;30;5;30S0;5;94;2023-03-16
51;22;M;30;5;30S0;5;94;2023-05-18
248;12;M;30;5;30S0;5;84;2023-05-29
194;12;T;30;5;30S0;5;84;2023-04-28
357;6;M;54;4;54S0;4;86;2023-05-17
182;6;M;54;4;54S0;4;86;2023-03-15
196;6;M;14;6;14S0;6;90;2023-05-19
198;6;T;14;6;14S0;6;90;2023-06-30
156;6;M;14;6;14S0;6;90;2023-04-07
159;9;T;14;6;14S0;6;90;2023-05-16
194;12;T;38;6;38S0;6;84;2023-05-12
248;12;M;38;6;38S0;6;84;2023-02-27
248;12;M;46;5;46S0;5;84;2023-05-01
194;12;T;46;5;46S0;5;84;2023-06-23
182;6;M;14;6;14S1;3;86;2023-05-24
357;6;M;14;6;14S1;3;86;2023-05-10
182;6;M;14;6;14S1;3;86;2023-06-14
50;12;M;54;4;54S1;2;80;2023-03-29
64;12;M;54;4;54S1;2;80;2023-03-08
64;12;M;54;4;54S1;2;80;2023-04-05
64;12;M;54;4;54S1;2;80;2023-03-22
50;12;M;54;4;54S1;2;80;2023-05-31
50;12;M;54;4;54S1;2;80;2023-05-24
64;12;M;54;4;54S1;2;80;2023-02-22
64;12;M;54;4;54S1;2;80;2023-07-12
178;6;T;38;6;38S1;3;88;2023-06-01
211;6;T;38;6;38S1;3;88;2023-03-24
202;6;T;38;6;38S1;3;88;2023-03-17
202;6;T;38;6;38S1;3;88;2023-07-14
203;6;M;38;6;38S1;3;88;2023-06-12
178;6;T;46;5;46S1;3;88;2023-04-20
211;6;T;46;5;46S1;3;88;2023-05-12
202;6;T;46;5;46S1;3;88;2023-05-05
203;6;M;46;5;46S1;3;88;2023-05-29
211;6;T;46;5;46S1;3;88;2023-04-21
178;6;T;46;5;46S1;3;88;2023-06-01
194;12;T;6;6;6S1;3;84;2023-05-05
248;12;M;6;6;6S1;3;84;2023-02-20
